solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0230.hcp,4.265,4.963,3.348,35.426,*
graph0231.hcp,8.374,11.380,11.289,39.345,31.290
graph0232.hcp,4.331,4.786,3.083,27.546,*
graph0233.hcp,.333,.336,.338,1.281,129.560
graph0234.hcp,2.968,3.310,2.550,*,*
graph0235.hcp,4.311,4.533,4.581,30.967,34.440
graph0237.hcp,8.249,9.985,6.498,35.112,*
graph0238.hcp,15.022,15.169,15.229,29.107,38.350
graph0239.hcp,14.323,15.393,10.163,40.237,*
graph0240.hcp,3.055,3.242,2.609,*,*
graph0241.hcp,18.909,22.189,22.092,27.005,69.310
graph0242.hcp,.523,.572,.555,138.061,*
graph0243.hcp,17.264,20.012,14.127,30.185,*
graph0245.hcp,18.912,21.233,21.191,25.553,40.190
graph0246.hcp,.180,.181,.181,1.323,155.520
graph0247.hcp,2.865,3.068,2.446,*,*
graph0248.hcp,27.893,32.922,21.714,36.959,*
graph0249.hcp,5.914,6.784,6.738,28.083,44.460
graph0252.hcp,13.976,14.546,9.936,47.258,*
graph0254.hcp,16.928,19.192,19.038,24.337,88.470
graph0256.hcp,.531,.591,.578,137.308,*
graph0259.hcp,17.170,20.341,13.593,42.370,*
graph0260.hcp,15.092,18.353,18.528,27.694,49.260
graph0261.hcp,.418,.419,.416,1.603,175.190
graph0262.hcp,6.248,6.680,4.665,35.320,*
graph0265.hcp,1.322,1.281,1.144,41.545,*
graph0266.hcp,11.259,12.837,12.975,27.655,54.300
graph0267.hcp,5.005,5.974,3.906,39.418,*
graph0269.hcp,11.973,15.070,15.086,34.878,37.830
graph0270.hcp,11.567,13.106,13.008,40.355,*
graph0273.hcp,22.295,28.101,19.684,50.535,*
graph0274.hcp,5.867,6.171,6.244,32.277,33.480
graph0275.hcp,.448,.497,.483,135.237,*
graph0276.hcp,17.805,19.831,12.417,39.555,*
graph0277.hcp,.223,.222,.223,1.675,3.610
graph0278.hcp,.562,.612,.601,112.898,*
graph0279.hcp,11.610,12.419,12.421,34.784,62.490
graph0280.hcp,18.406,22.418,16.787,*,*
graph0281.hcp,21.613,27.980,19.012,47.566,*
graph0282.hcp,11.930,12.583,12.820,36.446,41.410
graph0283.hcp,20.618,21.324,15.226,43.660,*
graph0285.hcp,6.973,7.304,7.337,51.944,99.080
graph0287.hcp,.740,.773,.754,181.136,*
graph0288.hcp,17.307,21.955,13.935,54.761,*
graph0291.hcp,11.872,12.735,12.821,49.280,54.630
graph0292.hcp,.248,.247,.247,1.856,7.210
graph0293.hcp,10.165,14.252,9.256,43.853,*
graph0296.hcp,14.605,18.065,18.005,38.380,75.920
graph0299.hcp,17.082,22.963,16.206,46.163,*
graph0301.hcp,.658,.717,.709,178.081,*
graph0302.hcp,19.004,22.035,21.888,42.072,67.300
graph0303.hcp,1.026,1.037,.933,57.615,*
graph0304.hcp,12.505,14.810,9.684,58.989,*
